IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio
2491861008; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Vila Ema; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Ema; Vila Ema; RESIDENTIAL; 61; 61; Comprar; 360000; 1; 1; 1; 3; 300
2493895205; RESIDENTIAL_ALLOTMENT_LAND; CONDOMINIUM; BR; Indaiatuba; SP; Avenida Bernardino Bonavita; BR>Sao Paulo>NULL>Indaiatuba>Barrios>Jardim Santa Rita; Jardim Santa Rita; RESIDENTIAL; 0; 500; Comprar; 0; 0; 0; 0; 0; 0
1539685487; APARTMENT; CONDOMINIUM; BR; Campinas; SP; Avenida Paulo Cuba de Souza; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Bom Sucesso; Jardim Bom Sucesso; RESIDENTIAL; 0; 41; Comprar; 182900; 1; 0; 1; 2; 0
2469778477; APARTMENT; CONDOMINIUM; BR; Indaiatuba; SP; Rua das Orquídeas; BR>Sao Paulo>NULL>Indaiatuba>Barrios>Vila Bergamo; Vila Bergamo; RESIDENTIAL; 0; 66; Comprar; 535703; 2; 2; 2; 1; 0
2496745576; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Europa; Jardim Europa; RESIDENTIAL; 0; 235; Comprar; 7400000; 2; 3; 5; 3; 3300
2488728656; APARTMENT; UNIT; BR; São Paulo; SP; Viela Quatorze; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Carrao; Vila Carrão; RESIDENTIAL; 73; 73; Comprar; 420000; 1; 0; 2; 3; 500
2493479084; APARTMENT; UNIT; BR; São Paulo; SP; Alameda Ministro Rocha Azevedo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim America; Jardim América; RESIDENTIAL; 146; 146; Comprar; 2200000; 0; 1; 3; 3; 1600
1404445494; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Lauzane Paulista; Lauzane Paulista; RESIDENTIAL; 50; 50; Comprar; 265000; 1; 0; 1; 2; 307
2233075554; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Plínio de Carvalho; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Matilde; Vila Matilde; RESIDENTIAL; 74; 74; Comprar; 424000; 1; 1; 2; 3; 0
2495645257; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Brooklin; Brooklin; RESIDENTIAL; 405; 405; Comprar; 2200000; 3; 4; 6; 4; 0
2488338216; APARTMENT; UNIT; BR; São Paulo; SP; Rua Simão Velho; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Freguesia do O; Freguesia do Ó; RESIDENTIAL; 65; 65; Comprar; 380000; 2; 1; 2; 3; 810
2486681722; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sansão Alves dos Santos; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Brooklin; Brooklin; RESIDENTIAL; 46; 46; Comprar; 602600; 1; 0; 1; 1; 414
2472496289; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Regente Feijo; Vila Regente Feijó; RESIDENTIAL; 70; 70; Comprar; 569000; 1; 1; 2; 2; 680
2491115794; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Itaquera; Itaquera; RESIDENTIAL; 46; 46; Comprar; 210000; 1; 0; 1; 1; 320
2491616943; APARTMENT; UNIT; BR; São Paulo; SP; Rua Guaraciaba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Tatuape; Tatuapé; RESIDENTIAL; 83; 83; Comprar; 607000; 0; 1; 2; 3; 603
2490147494; APARTMENT; UNIT; BR; São Paulo; SP; Rua Professor Rui Bloem; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Primavera; Vila Primavera; RESIDENTIAL; 101; 101; Comprar; 688900; 3; 1; 2; 3; 990
2491110038; APARTMENT; UNIT; BR; São Paulo; SP; Rua Moinho Velho; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Moinho Velho; Moinho Velho; RESIDENTIAL; 69; 69; Comprar; 570000; 2; 1; 2; 3; 600
2485914697; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Engenheiro Ferreira; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nhocune; Vila Nhocune; RESIDENTIAL; 125; 165; Comprar; 420000; 2; 1; 2; 3; 0
2451466774; APARTMENT; UNIT; BR; São Paulo; SP; Rua Frei Caneca; BR>Sao Paulo>NULL>Sao Paulo>Centro>Consolacao; Consolação; RESIDENTIAL; 137; 100; Comprar; 735000; 1; 0; 2; 2; 800
2485595520; HOME; UNIT; BR; São Paulo; SP; Rua Professora Maria de Lourdes de S. Nogueira; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Marajoara; Jardim Marajoara; RESIDENTIAL; 122; 80; Comprar; 649000; 2; 1; 2; 3; 0
2431100275; APARTMENT; UNIT; BR; São Paulo; SP; Rua Haddock Lobo; BR>Sao Paulo>NULL>Sao Paulo>Centro>Cerqueira Cesar; Cerqueira César; RESIDENTIAL; 45; 45; Comprar; 468000; 1; 0; 1; 1; 690
2477100152; HOME; UNIT; BR; São Paulo; SP; Rua José Nogueira; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Ipe; Jardim Ipê; RESIDENTIAL; 253; 217; Comprar; 700000; 4; 2; 4; 4; 0
2491848909; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Inah; Vila Inah; RESIDENTIAL; 170; 170; Comprar; 1120000; 4; 2; 5; 4; 0
2173355728; APARTMENT; UNIT; BR; São Paulo; SP; Rua Castilho; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Brooklin; Brooklin; RESIDENTIAL; 0; 44; Comprar; 630000; 1; 0; 1; 1; 0
2482199598; APARTMENT; UNIT; BR; São Paulo; SP; Alameda dos Jurupis; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Moema; Moema; RESIDENTIAL; 47; 47; Comprar; 739000; 1; 1; 1; 1; 450
2460987081; APARTMENT; CONDOMINIUM; BR; Campinas; SP; Rua Herculano Florence Teixeira; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Esmeraldina; Jardim Esmeraldina; RESIDENTIAL; 40; 40; Comprar; 167900; 1; 1; 1; 2; 0
2495496282; APARTMENT; CONDOMINIUM; BR; Campinas; SP; Rua José Martins Lourenço; BR>Sao Paulo>NULL>Campinas>Barrios>Jardim Sao Gabriel; Jardim São Gabriel; RESIDENTIAL; 42; 42; Comprar; 185150; 1; 0; 1; 2; 0
2488671660; APARTMENT; CONDOMINIUM; BR; Indaiatuba; SP; Rua Siqueira Campos; BR>Sao Paulo>NULL>Indaiatuba>Barrios>Vila Sfeir; Vila Sfeir; RESIDENTIAL; 0; 185; Comprar; 0; 3; 2; 3; 4; 0
2491761887; APARTMENT; UNIT; BR; São Paulo; SP; Rua Ouro Branco; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Paulista; Jardim Paulista; RESIDENTIAL; 107; 107; Comprar; 1195000; 1; 1; 2; 3; 1700
2498807595; APARTMENT; UNIT; BR; São Paulo; SP; Rua Faustolo; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Lapa; Lapa; RESIDENTIAL; 70; 70; Comprar; 770000; 2; 1; 2; 2; 900
2497199278; HOME; UNIT; BR; São Paulo; SP; Rua Barão de Juparanã; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Zelina; Vila Zelina; RESIDENTIAL; 124; 124; Comprar; 710000; 2; 1; 3; 3; 0
