Bairro; Zona
Vila Cachoeira; 
Vila Dom Pedro II; 
Vila Gustavo; 
Vila Leo; 
Vila Mazzei; 
Vila Nivi; 
Vila Pedrosa; 
Vila Porto; 
Vila Andrade; 
Panamby; 
Paraisópolis; 
Vila Curuçá; 
Jardim Eva; 
Jardim Nazareth; 
Jardim Quissisana; 
Jardim Robru; 
Jardim Rosina; 
Jardim Senice; 
Parque Dom João Néri; 
Vila Conceição; 
Vila Luzimar; 
Vila Formosa; 
Chácara Belenzinho; 
Capão do Embira; 
Jardim Anália Franco; 
Jardim Iara; 
Jardim Têxtil; 
Parque Cruzeiro do Sul; 
Vila Antonina; 
Vila Araci; 
Vila Cruzeiro; 
Vila Embira; 
Vila Mafra; 
Vila Olinda; 
Vila Guilherme; 
Carandiru; 
Chácara Cuoco; 
Jardim da Coroa; 
Jardim da Divisa; 
Jardim Sara; 
Vila Bariri; 
Vila Eleonore; 
Vila Isolina Mazzei; 
Vila Leonor; 
Vila Paiva; 
Vila Pizzotti; 
Vila Salvador Romeu; 
Vila Versoni; 
Vila Jacuí; 
Vila Síria; 
Jardim Pedro José Nunes; 
Jardim Ruth; 
União de Vila Nova; 
Vila Leopoldina; 
Conjunto Haddad; 
Jardim Humaitá; 
Vila Ribeiro de Barros; 
Vila Maria; 
Conjunto Promorar Vila Maria; 
Jardim Andaraí; 
Jardim Japão; 
Parque Novo Mundo; 
Vila Maria Baixa; 
Parque Vila Maria; 
Vila Maria Alta; 
Vila Mariana; 
Chácara do Castelo; 
Chácara Klabin; 
Conjunto dos Bancários; 
Jardim Aurélia; 
Jardim da Glória; 
Jardim Lutfalla; 
Jardim Vila Mariana; 
Paraíso; 
Vila Afonso Celso; 
Vila Clementino; 
Vila Matilde; 
Chácara Seis de Outubro; 
Cidade Patriarca; 
Jardim Assunção; 
Jardim Hercília; 
Jardim Maringá; 
Jardim Samara; 
Jardim Triana; 
Vila Aricanduva; 
Vila Dalila; 
Vila Eutália; 
Vila Guilhermina; 
Vila Nova Savoia; 
Vila Talarico; 
Vila Medeiros; 
Conjunto Promorar Fernão Dias; 
Jardim Neila; 
Vila Alegria; 
Vila Ede; 
Vila Elisa; 
Vila Munhoz; 
Vila Sabrina; 
Jardim Guançã; 
Jardim Julieta; 
Vila Prudente; 
Jardim Avelino; 
Parque da Vila Prudente; 
Quinta da Paineira; 
Sítio da Figueira; 
Vila Alpina; 
Vila Califórnia; 
Vila Lúcia; 
Vila Zelina; 
Vila Sônia; 
Conjunto Residencial do Morumbi; 
Jardim Alvorada; 
Jardim Brasilina; 
Jardim Camboré; 
Jardim Celeste; 
Jardim Colombo; 
Jardim das Palmas; 
Jardim das Vertentes; 
Jardim Eunice; 
Jardim Jaqueline; 
Jardim Jussara; 
Jardim Leila; 
Jardim Londrina; 
Jardim Maria do Carmo; 
Jardim Monte Kemel; 
Jardim Morro Verde; 
Jardim Nilson; 
Jardim Novo Taboão; 
Jardim Olympia; 
Jardim Oriente; 
Jardim Peri Peri; 
Jardim Rebouças; 
Jardim Rosemary; 
Jardim Taboão; 
Jardim Trussardi; 
Jardim Vazami; 
L&#039;Habitare; 
Lar São Paulo; 
Predefinição:Localização do bairro Jardim Monte Kemel; 
Superquadra Morumbi; 
Vila Albano; 
Vila Campo Belo; 
Vila Inah; 
Vila Morse; 
Vila Olga; 
Vila Pires; 
Vila Praia; 
Vila Rute; 
Vila Sabiá; 
Vila Susana; 
