Bairro; Zona; LocationID; Latitude; Longitude; Url
Sítio da Figueira; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Sitio da Figueira; -23,604594; -46,548162; /venda/imoveis/sp+sao-paulo+zona-leste+sitio-da-figueira/
Vila Alpina; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>VILA ALPINA; -23,593176; -46,552979; /venda/imoveis/sp+sao-paulo+zona-leste+vl-alpina/
Vila Lúcia; ; BR>Sao Paulo>NULL>Poa>Barrios>Vila Lucia; -23,509175; -46,339081; /venda/imoveis/sp+poa++vl-lucia/
Vila Zelina; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Zelina; -23,589722; -46,576346; /venda/imoveis/sp+sao-paulo+zona-leste+vl-zelina/
Vila Sônia; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Sonia; -23,603763; -46,729718; /venda/imoveis/sp+sao-paulo+zona-oeste+vl-sonia/
Jardim Alvorada; ; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Jardim Alvorada; -23,223793; -45,910575; /venda/imoveis/sp+sao-jose-dos-campos++jd-alvorada/
Jardim Celeste; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Celeste; -23,65491; -46,609009; /venda/imoveis/sp+sao-paulo+zona-sul+jd-celeste/
Jardim Colombo; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Colombo; -23,603763; -46,729718; /venda/imoveis/sp+sao-paulo+zona-sul+jd-colombo/
Jardim das Palmas; ; BR>Parana>NULL>Campo Largo>Barrios>Jardim das Palmas; -25,4963192; -49,5127286; /venda/imoveis/pr+campo-largo++jd-das-palmas/
Jardim das Vertentes; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim das Vertentes; -23,589992; -46,744676; /venda/imoveis/sp+sao-paulo+zona-oeste+jd-das-vertentes/
Jardim Jaqueline; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Jaqueline; -23,592995; -46,752081; /venda/imoveis/sp+sao-paulo+zona-oeste+jd-jaqueline/
Jardim Jussara; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Jussara; -23,592995; -46,752081; /venda/imoveis/sp+sao-paulo+zona-sul+jd-jussara/
Jardim Leila; ; BR>Sao Paulo>NULL>Guarulhos>Barrios>Jardim Leila; -23,458166; -46,522279; /venda/imoveis/sp+guarulhos++jd-leila/
Jardim Londrina; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Londrina; -23,605164; -46,742409; /venda/imoveis/sp+sao-paulo+zona-sul+jd-londrina/
Jardim Maria do Carmo; ; BR>Sao Paulo>NULL>Sorocaba>Barrios>Jardim Maria do Carmo; -23,473794; -47,445363; /venda/imoveis/sp+sorocaba++jd-maria-do-carmo/
Jardim Monte Kemel; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Monte Kemel; -23,601496; -46,73697; /venda/imoveis/sp+sao-paulo+zona-oeste+jd-monte-kemel/
Jardim Morro Verde; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Morro Verde; -23,6104118; -46,7472448; /venda/imoveis/sp+sao-paulo+zona-oeste+jd-morro-verde/
Jardim Novo Taboão; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Novo Taboao; -23,619955; -46,747245; /venda/imoveis/sp+sao-paulo+zona-sul+jd-nv-taboao/
Jardim Olympia; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Olympia; -23,588223; -46,752081; /venda/imoveis/sp+sao-paulo+zona-oeste+jd-olympia/
Jardim Oriente; ; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Jardim Oriente; -23,246627; -45,893869; /venda/imoveis/sp+sao-jose-dos-campos++jd-oriente/
Jardim Rebouças; ; BR>Parana>NULL>Maringa>Barrios>Jardim Reboucas; -23,3792708; -51,961985; /venda/imoveis/pr+maringa++jd-reboucas/
Jardim Rosemary; ; BR>Sao Paulo>NULL>Itapevi>Barrios>Jardim Rosemary; -23,561398; -46,925884; /venda/imoveis/sp+itapevi++jd-rosemary/
Jardim Taboão; Zona Sul; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Taboao; -23,65491; -46,609009; /venda/imoveis/sp+sao-paulo+zona-sul+jd-taboao/
Jardim Trussardi; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Jardim Trussardi; -23,587066; -46,729718; /venda/imoveis/sp+sao-paulo+zona-oeste+jd-trussardi/
Lar São Paulo; Zona Oeste; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Lar Sao Paulo; -23,609518; -46,7412; /venda/imoveis/sp+sao-paulo+zona-oeste+lar-s-paulo/
