IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio
2478449293; APARTMENT; UNIT; BR; São Paulo; SP; Rua da Paz; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Chacara Santo Antonio; Chácara Santo Antônio; RESIDENTIAL; 230; 143; Comprar; 1650000; 2; 3; 4; 3; 978
2430263994; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Moema; Moema; RESIDENTIAL; 170; 170; Comprar; 1450000; 2; 1; 4; 4; 1810
2463840173; APARTMENT; UNIT; BR; São Paulo; SP; Rua José Alves de Almeida; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Butanta; Butantã; RESIDENTIAL; 50; 50; Comprar; 280000; 1; 0; 1; 2; 440
2493632988; APARTMENT; UNIT; BR; São Paulo; SP; Rua Bactória; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Jardim Vila Formosa; Jardim Vila Formosa; RESIDENTIAL; 49; 49; Comprar; 250000; 1; 0; 1; 2; 350
2260675495; APARTMENT; UNIT; BR; São Paulo; SP; Rua Manoel Dutra; BR>Sao Paulo>NULL>Sao Paulo>Centro>Bela Vista; Bela Vista; RESIDENTIAL; 39; 39; Comprar; 370000; 1; 0; 1; 1; 400
2433348961; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua Iporanga; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Agua Branca; Água Branca; RESIDENTIAL; 61; 61; Comprar; 536695; 1; 1; 1; 2; 0
2433351281; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua Cristiano Viana; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Pinheiros; Pinheiros; RESIDENTIAL; 25; 25; Comprar; 1066000; 1; 0; 2; 1; 0
2490121607; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua Doutor Eduardo de Souza Aranha; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Nova Conceicao; Vila Nova Conceição; RESIDENTIAL; 0; 303; Comprar; 0; 4; 4; 5; 4; 0
2493817871; APARTMENT; UNIT; BR; São Paulo; SP; Rua Cajaíba; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>POMPEIA; Pompeia; RESIDENTIAL; 72; 72; Comprar; 690400; 0; 1; 1; 3; 700
2494949103; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Pinheiros; Pinheiros; RESIDENTIAL; 83; 83; Comprar; 1100000; 2; 2; 2; 2; 1100
2495718580; APARTMENT; UNIT; BR; São Paulo; SP; Rua Professor Aprígio Gonzaga; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Sao Judas; São Judas; RESIDENTIAL; 93; 73; Comprar; 695000; 2; 1; 2; 2; 590
2485777830; APARTMENT; UNIT; BR; São Paulo; SP; Rua Jaime Taveira; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Cruzeiro do Sul; Chácara Cruzeiro do Sul; RESIDENTIAL; 52; 52; Comprar; 330000; 1; 1; 2; 2; 450
2491351690; APARTMENT; UNIT; BR; São Paulo; SP; Rua Itapicuru; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Perdizes; Perdizes; RESIDENTIAL; 60; 60; Comprar; 450000; 1; 1; 1; 2; 673
2486678244; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Ipiranga; Ipiranga; RESIDENTIAL; 131; 131; Comprar; 890000; 2; 1; 2; 3; 0
2458952528; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Parque Tomas Saraiva; Parque Tomas Saraiva; RESIDENTIAL; 214; 214; Comprar; 598000; 2; 1; 3; 4; 0
2491823664; APARTMENT; UNIT; BR; São Paulo; SP; Rua Nelson Gama de Oliveira; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>VILA ANDRADE; Vila Andrade; RESIDENTIAL; 96; 96; Comprar; 560000; 2; 1; 2; 2; 700
2486148890; APARTMENT; UNIT; BR; São Paulo; SP; Rua Carlos Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Carrao; Vila Carrão; RESIDENTIAL; 68; 68; Comprar; 410000; 1; 1; 1; 3; 470
2444753574; OFFICE; UNIT; BR; São Paulo; SP; Rua Doutor Renato Paes de Barros; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Itaim Bibi; Itaim Bibi; COMMERCIAL; 100; 48; Comprar; 660000; 1; 0; 2; 0; 1200
2495017313; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Jardim Paulista; Jardim Paulista; RESIDENTIAL; 33; 33; Comprar; 589000; 0; 0; 1; 1; 1
1785115482; APARTMENT; UNIT; BR; São Paulo; SP; Rua São José; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Alto Da Boa Vista; Alto Da Boa Vista; RESIDENTIAL; 73; 73; Comprar; 690000; 2; 1; 2; 2; 800
2488870102; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>VILA ANDRADE; Vila Andrade; RESIDENTIAL; 83; 83; Comprar; 579000; 2; 1; 2; 2; 700
2435561299; APARTMENT; UNIT; BR; São Paulo; SP; Rua João Moura; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Pinheiros; Pinheiros; RESIDENTIAL; 248; 84; Comprar; 1063000; 2; 1; 3; 3; 1450
2466409075; APARTMENT; UNIT; BR; São Paulo; SP; Rua Serra de Botucatu; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Tatuape; Tatuapé; RESIDENTIAL; 63; 63; Comprar; 410000; 1; 0; 2; 3; 420
2444858491; APARTMENT; UNIT; BR; São Paulo; SP; Rua do Arraial; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Mariana; Vila Mariana; RESIDENTIAL; 69; 69; Comprar; 610000; 2; 1; 2; 3; 641
2488392126; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Guapira; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Tucuruvi; Tucuruvi; RESIDENTIAL; 112; 112; Comprar; 340000; 1; 0; 1; 2; 80
